STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:25000030;0.9;2.0999999999999996;25.4;31.400000000000002;0.9;1.7;Lange Dreef;Emmeloord;180451.0;524865.5
NL:S:25000050;9.0;11.6;70.4;87.3;6.8;4.5;Bunschotenlaan;Emmeloord;180560.5;524023.5
NL:S:25000070;0.8;1.5;20.1;24.0;0.1;0.2;Emmeloord - Oost;Emmeloord;181259.0;524904.5
NL:S:25000100;13.0;12.799999999999999;75.5;78.8;4.9;3.2;Diemenlaan;Emmeloord;180258.0;523941.0
NL:S:25000130;0.6;0.9;9.299999999999999;12.6;0.2;0.2;Ecopark;Emmeloord;182142.5;524730.5
NL:S:25000160;0.0;0.0;8.8;15.1;0.0;0.0;Ondernemersweg;Emmeloord;180181.5;523016.0
NL:S:25000180;0.0;0.0;12.0;17.9;0.0;0.0;Produktieweg;Emmeloord;180026.5;523647.5
NL:S:25000210;8.1;9.5;85.2;115.2;4.5;6.0;Zuyderzee College;Emmeloord;179914.0;524240.0
NL:S:25000410;0.0;0.2;126.8;166.7;0.0;0.0;Begraafplaats;Emmeloord;179303.0;525553.5
NL:S:25000430;0.0;0.0;3.7;3.2;0.0;0.0;Dr. W.M. Verhaarlaan;Emmeloord;179110.0;526074.0
NL:S:25000470;0.0;0.0;8.1;10.3;0.0;0.0;Nieuwlandenlaan;Emmeloord;178659.5;526338.0
NL:S:25000500;18.8;16.1;295.6;332.8;6.699999999999999;6.9;Medisch Centrum;Emmeloord;179106.5;524612.5
NL:S:25000600;25.6;19.6;402.09999999999997;373.09999999999997;16.200000000000003;15.5;Antonius Ziekenhuis;Emmeloord;178569.5;524196.0
NL:S:25000700;0.1;0.1;1.8;2.2;0.0;0.0;Urkerweg 18;Emmeloord;177370.5;522904.0
NL:S:25001400;4.0;10.7;42.6;78.5;3.3;4.7;Smeden;Emmeloord;179814.0;524632.5
NL:S:25005010;315.6;367.5;4583.8;4427.6;220.5;188.9;Busstation;Emmeloord;179619.0;524811.4
NL:S:25060010;0.8;1.0;37.1;31.4;0.0;0.0;Brink;Luttelgeest;186686.0;528432.0
NL:S:25060030;0.0;0.0;0.1;1.4;0.0;0.0;Luttelgeesterweg;Luttelgeest;186859.0;527829.5
NL:S:25060050;0.3;0.0;1.7;0.5;0.0;0.0;Lindeweg;Luttelgeest;185804.0;529534.5
NL:S:25060070;0.3;0.7;7.1;9.9;0.0;0.0;Orchideeenhoeve;Luttelgeest;185153.5;530145.5
NL:S:25060090;4.1;2.8;107.6;76.2;0.0;0.0;Oosterringweg;Luttelgeest;184653.0;530698.5
NL:S:25060110;0.1;0.2;1.1;1.1;0.0;0.0;Schansweg;Luttelgeest;185184.0;531477.0
NL:S:25070010;1.0;0.9;8.8;8.600000000000001;0.6000000000000001;0.4;Luttelgeesterweg;Marknesse;185266.5;524622.5
NL:S:25070030;0.0;0.0;0.4;0.7;0.0;0.0;H.D. Louwes Hoeve;Emmeloord;184173.0;524726.5
NL:S:25070050;0.4;0.4;3.4;3.1999999999999997;0.7;0.6000000000000001;Lindeweg;Emmeloord;183218.0;524689.0
