STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:40885006;Openbare Basisschool;Oeken;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:40887001;Garderenseweg;Uddel;1,5;1,3;0,2;0,4;0,0;0,0
NL:S:40887003;Cafe Uddelermeer;Uddel;5,7;6,6;2,4;2,2;0,4;0,2
NL:S:40887005;Bleeke Hoeve;Uddel;3,2;3,3;0,6;0,7;0,1;0,1
NL:S:40887007;Uttilochweg;Uddel;35,7;34,3;8,5;7,5;0,7;0,8
NL:S:40887009;Markveldweg;Uddel;18,4;14,5;4,5;3,3;0,3;0,8
NL:S:40887012;Noord Riezen;Uddel;0,8;1,2;1,0;0,6;0,2;0,1
NL:S:40982002;Hooiweg/Middenweg;Elspeet;0,8;0,7;0,0;0,0;0,0;0,0
NL:S:40982003;Veenweg;Elspeet;1,1;1,0;0,0;0,0;0,0;0,0
NL:S:40982005;Gerrit Mouwweg;Elspeet;3,8;3,8;0,2;0,0;0,0;0,0
NL:S:40982007;Centrum;Elspeet;46,0;44,5;10,3;10,0;0,5;0,3
NL:S:40982009;Kleine Kolonieweg;Elspeet;5,3;5,4;0,9;1,4;0,1;0,2
NL:S:40982011;Bosrand;Elspeet;0,7;1,1;0,3;0,4;0,1;0,0
NL:S:40982021;Landgoed Noorderheide;Elspeet;0,1;0,1;0,2;0,2;0,0;0,0
NL:S:40982025;Sluiterweg;Elspeet;3,0;3,2;0,8;0,9;0,0;0,0
NL:S:40982027;Vierhouterweg;Elspeet;5,2;4,8;2,4;2,5;0,1;0,2
NL:S:41110030;Grevenveld;Huissen;86,6;95,8;61,5;68,2;37,3;42,5
NL:S:41110050;Nielant;Huissen;169,1;165,5;118,0;110,4;67,5;73,2
NL:S:41110070;Heirweg;Huissen;63,2;67,8;45,1;49,2;29,9;35,6
NL:S:41110090;Bredestraat;Huissen;102,3;85,2;68,3;56,9;45,0;39,9
NL:S:41110110;Langekerkstraat;Huissen;116,5;111,3;89,2;85,4;48,3;49,6
NL:S:41110150;Stadswal;Huissen;106,0;107,8;60,5;54,5;36,0;36,2
NL:S:41110170;Binnenveld;Huissen;9,8;11,8;5,5;6,9;3,1;4,1
NL:S:41110210;Valom;Huissen;15,2;22,1;8,6;13,2;6,1;8,0
NL:S:41110230;Florapark;Huissen;50,4;47,5;28,1;24,1;16,7;15,9
NL:S:41110250;Nieuwediep;Huissen;15,9;15,0;8,2;7,8;5,3;5,1
NL:S:41110300;Agropark;Huissen;58,1;62,6;20,0;20,2;10,1;9,6
NL:S:41110310;Bergerden;Huissen;14,1;14,7;0,0;0,0;0,0;0,0
NL:S:41110330;Polseweg;Huissen;1,8;2,8;1,3;1,9;0,6;1,4
NL:S:41110360;Geldersch Oord;Angeren;1,9;1,5;1,1;0,9;0,8;0,5
NL:S:41110370;Hedera;Huissen;1,2;1,6;0,0;0,0;0,0;0,0
NL:S:41110390;Mea Vota;Huissen;68,8;64,2;47,5;41,6;24,2;25,1
NL:S:41150010;Dorpstraat/Hamersetraat;Westervoort;0,3;0,2;0,0;0,0;0,0;0,0
NL:S:41150050;Het Ambacht;Westervoort;4,4;3,4;2,6;2,3;0,7;0,6
NL:S:41150070;Leigraaf;Westervoort;18,2;13,0;13,1;10,2;7,3;6,3
NL:S:41150110;Sonnedach;Westervoort;67,1;74,2;54,1;52,4;31,0;36,2
NL:S:41150130;Sporthal de Pals;Westervoort;11,9;14,6;9,2;11,8;5,6;7,4
NL:S:41150150;Vredenburg;Westervoort;14,3;16,6;12,9;14,3;9,0;9,6
NL:S:41151010;Lange Maat;Westervoort;6,9;9,7;5,1;9,4;2,7;4,3
NL:S:41151030;Ganzenpoel;Westervoort;56,0;47,8;44,9;36,1;23,1;21,4
NL:S:41151050;Nieuwhof;Westervoort;50,4;55,8;36,0;36,3;17,6;20,5
NL:S:41151070;Santacker;Westervoort;46,2;45,8;36,8;37,2;20,1;21,7
NL:S:41151090;Emmerik;Westervoort;32,1;30,2;21,3;22,7;14,8;16,2
