STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:47649001;Rodenrijs;Berkel en Rodenrijs;1,5;2,5;0,9;1,4;0,6;0,9
NL:S:47649010;Westfalenstraat;Deventer;13,6;15,0;0,0;0,0;0,0;0,0
NL:S:47649040;Wijtenhorst;Deventer;7,0;8,1;2,6;3,0;1,5;1,7
NL:S:47650001;Vaassen-Zuid;Vaassen;117,3;111,0;55,8;52,1;29,5;32,5
NL:S:47650003;Oosterhof;Vaassen;52,1;51,7;19,0;20,8;12,2;12,0
NL:S:47650006;Centrum;Vaassen;41,1;40,0;21,3;22,7;13,1;11,8
NL:S:47650007;Vaassen-Noord;Vaassen;17,2;15,8;7,8;8,3;5,3;4,3
NL:S:47651001;Handelsebrug;Emst;13,1;14,2;3,2;3,1;1,8;2,1
NL:S:47651003;Hezeplein;Emst;20,1;19,2;7,2;7,8;5,9;5,7
NL:S:47651005;Oranjeweg;Emst;11,1;10,1;3,3;4,0;2,6;2,2
NL:S:47713001;Landgoed Hulshorst;Hulshorst;1,5;1,5;2,5;2,1;0,0;0,0
NL:S:47713003;Oudeweg;Hulshorst;2,9;3,3;2,2;2,0;0,0;0,0
NL:S:47713005;Varelseweg;Hulshorst;2,4;2,3;1,6;0,9;0,0;0,0
NL:S:47713007;School Hulshorst;Hulshorst;1,3;1,7;0,9;0,7;0,0;0,0
NL:S:47713009;Onder de Bos;Hulshorst;1,6;1,6;0,2;0,3;0,0;0,0
NL:S:47724001;Dorpsplein;Nijbroek;1,4;1,1;0,0;0,0;0,0;0,0
NL:S:47730001;Emstermate;Terwolde;0,3;0,4;0,0;0,0;0,0;0,0
NL:S:47730003;Twelloseweg;Terwolde;0,7;0,7;0,0;0,0;0,0;0,0
NL:S:47730005;Molenweg;Terwolde;2,8;2,7;0,0;0,0;0,0;0,0
NL:S:47730007;Molen De Ooievaar;Terwolde;0,3;0,2;0,0;0,0;0,0;0,0
NL:S:47786023;Halfweg;Nunspeet;2,6;3,9;1,5;1,4;0,0;0,0
NL:S:47788004;De Mallejan;Vierhouten;1,9;2,7;1,3;1,3;0,0;0,0
NL:S:47831503;Boerhaar;Boerhaar;0,3;0,1;0,0;0,0;0,0;0,0
NL:S:47831611;Station;Wijhe;1,3;1,5;0,2;0,2;0,0;0,0
NL:S:47839001;Havenpoort;Wijhe;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:47850010;Kerk;Boskamp;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:47850030;Stenen Kruis;Eikelhof;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:47888001;Centrum;Vierhouten;5,5;5,4;3,7;5,1;0,0;0,0
NL:S:47888005;Noordkampen;Vierhouten;1,4;2,1;1,0;1,3;0,0;0,0
NL:S:47888007;'t Frusselt;Vierhouten;0,9;1,2;0,5;1,1;0,0;0,0
NL:S:47888009;Elspeterbosweg;Vierhouten;0,5;0,5;0,4;0,4;0,0;0,0
NL:S:47890001;Osnabruckstraat;Deventer;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:47892001;Schouwburg/Centrum;Deventer;44,7;64,5;38,7;60,5;18,7;26,7
NL:S:47899001;Keolis/Van Wijnen;Deventer;1,2;2,9;0,0;0,0;0,0;0,0
NL:S:47899901;Cröddendijk;Deventer;0,2;0,1;0,1;0,0;0,0;0,0
NL:S:47899903;De Scheg;Deventer;48,0;62,5;33,1;40,2;15,8;24,6
NL:S:47899909;Huize Salland;Deventer;8,7;10,1;4,3;6,3;3,2;4,7
NL:S:47899913;Brandweerdam;Deventer;8,5;9,4;3,1;4,5;2,0;2,6
