CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:51760420;Gruttersdam;Asperen;0,4;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51760430;Raadhuisplein;Asperen;0,0;0,2;0,0;0,0;0,0;0,0
23;NL:Q:51760440;Raadhuisplein;Asperen;0,3;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51760450;Baronie;Asperen;0,0;1,0;0,0;0,0;0,0;0,0
23;NL:Q:51760460;Baronie;Asperen;0,6;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51760470;Drostlaan;Asperen;0,0;1,5;0,0;0,0;0,0;0,0
23;NL:Q:51760480;Drostlaan;Asperen;2,7;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51760550;Brandweer;Asperen;0,1;0,1;0,2;0,0;0,0;0,0
23;NL:Q:51760560;Brandweer;Asperen;0,1;0,2;0,0;0,3;0,0;0,0
23;NL:Q:51760570;Stardam;Asperen;1,4;0,1;0,1;0,0;0,0;0,0
23;NL:Q:51760580;Stardam;Asperen;0,0;0,8;0,0;0,2;0,0;0,0
23;NL:Q:51760590;Schildkamp;Asperen;0,6;1,5;0,2;0,5;0,0;0,0
23;NL:Q:51760600;Schildkamp;Asperen;0,1;0,6;0,0;0,2;0,0;0,0
23;NL:Q:51760710;Lingestein;Leerdam;0,2;0,2;0,0;0,1;0,0;0,0
23;NL:Q:51769070;De Schakel;Acquoy;0,1;0,0;0,2;0,0;0,0;0,0
23;NL:Q:51769080;De Schakel;Acquoy;0,1;0,2;0,1;0,1;0,0;0,0
23;NL:Q:51769110;Achterweg;Acquoy;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51769120;Achterweg;Acquoy;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:60000280;Joris Ivensplein;Nijmegen;2,2;13,7;1,5;10,5;1,2;10,8
23;NL:Q:60000610;Joris Ivensplein;Nijmegen;13,0;2,1;11,7;0,7;14,1;1,5
23;NL:Q:60000630;Havenweg;Nijmegen;0,9;2,3;0,9;1,3;1,3;2,2
23;NL:Q:60000970;Sluis Weurt;Nijmegen;1,6;1,6;0,7;0,5;1,3;1,1
23;NL:Q:60000990;Sluis Weurt;Nijmegen;1,5;1,9;0,7;1,0;1,2;1,7
23;NL:Q:60001002;Centraal Station;Nijmegen;126,8;33,9;58,2;15,1;102,0;15,8
23;NL:Q:60001003;Centraal Station;Nijmegen;6,3;65,0;2,1;33,9;4,2;66,1
23;NL:Q:60001050;Havenweg;Nijmegen;2,6;1,0;1,4;0,8;2,0;1,2
23;NL:Q:60001200;Smetiusstraat;Nijmegen;10,1;6,0;6,0;1,9;10,1;4,3
23;NL:Q:60001700;Smetiusstraat;Nijmegen;0,0;0,4;0,0;0,4;0,0;0,7
23;NL:Q:60002005;Plein 1944;Nijmegen;30,3;12,5;27,8;2,6;30,0;7,9
23;NL:Q:60002006;Plein 1944;Nijmegen;4,0;36,1;1,5;40,9;2,2;40,8
23;NL:Q:60003370;Merwedestraat;Nijmegen;0,8;8,6;0,8;5,7;0,9;7,9
23;NL:Q:60003450;Vlietstraat;Nijmegen;8,8;3,2;6,2;2,1;7,4;3,8
23;NL:Q:60003490;Biezenstraat;Nijmegen;7,6;1,3;7,2;0,8;5,3;1,4
23;NL:Q:60003580;Vlietstraat;Nijmegen;4,6;6,4;3,3;3,4;4,3;6,0
23;NL:Q:60003660;Biezenstraat;Nijmegen;0,8;7,7;0,7;6,6;0,6;6,7
23;NL:Q:60003720;Merwedestraat;Nijmegen;4,8;0,6;3,5;0,5;3,4;0,7
23;NL:Q:60003880;Industrieweg;Nijmegen;1,3;8,5;0,5;4,2;0,5;5,3
23;NL:Q:60003960;Industrieweg;Nijmegen;11,3;3,6;4,4;1,5;4,1;0,7
23;NL:Q:61120010;Kerkstraat;Weurt;0,3;7,5;0,2;6,0;0,4;8,3
23;NL:Q:61120020;Hommelstraat;Beuningen;2,9;0,6;1,4;0,3;2,6;0,7
