STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:41509030;Prins Bernhardlaan;Zutphen;6,4;8,3;1,8;3,0;1,4;1,5
NL:S:41510180;Kroezerijweg;Bronckhorst;18,9;17,7;8,6;5,8;4,9;4,5
NL:S:41520010;Manege;Laag-Keppel;1,1;1,4;1,0;1,5;0,5;0,6000000000000001
NL:S:41520030;Gouden Leeuw;Laag-Keppel;6,6;6,2;3,4;2,7;1,4;1,5
NL:S:41520050;Brede school;Hummelo;3,0;2,8;2,5;2,1;1,8;1,7
NL:S:41520110;Zelhemseweg;Hummelo;10,3;9,6;7,0;6,0;4,8;4,9
NL:S:41520210;'t Smaaleke;Laag-Keppel;1,5;2,5;0,6;0,8999999999999999;0,2;0,5
NL:S:41520230;Weg naar Hoog-Keppel;Hoog Keppel;1,7000000000000002;1,8;0,4;0,4;0,30000000000000004;0,30000000000000004
NL:S:41520250;Burg. Vrijlandweg;Hoog Keppel;2,0999999999999996;2,7;0,7999999999999999;0,7;0,6000000000000001;0,6000000000000001
NL:S:41520270;De Braamberg;Drempt;18,9;14,7;9,0;6,199999999999999;3,2;3,4
NL:S:41530030;Covik;Baak;9,5;3,3;3,2;1,5;1,6;0,4
NL:S:41530070;Dorp;Baak;18,5;18,9;9,3;7,9;7,5;4,7
NL:S:41530150;Hackforterweg;Wichmond;1,0;1,2;0,0;0,0;0,0;0,0
NL:S:41530180;Van den Brink;Wichmond;0,2;0,0;0,0;0,0;0,0;0,0
NL:S:41530200;Dorpsstraat;Wichmond;2,2;1,8;0,0;0,0;0,0;0,0
NL:S:41580001;Pater Smitsstraat;Didam;0,7;0,3;0,0;0,0;0,0;0,0
NL:S:41601073;Drostendijk;Apeldoorn;2,1;2,0;0,0;0,1;0,1;0,1
NL:S:41607001;Woudweg;Teuge;2,5;2,5;0,0;0,1;0,3;0,1
