STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:43160310;Transformatorhuis;Hengevelde;0,8;0,9;0,0;0,1;0,0;0,0
NL:S:43160370;Centrum;St. Isidorushoeve;2,0;2,1;0,4;0,5;0,0;0,0
NL:S:43160390;Weg naar Rietmolen;St. Isidorushoeve;0,2;0,4;0,1;0,2;0,0;0,0
NL:S:43170030;Lonnekermolenweg;Losser;0,4;0,5;0,1;0,3;0,1;0,2
NL:S:43170050;Oude Losserseweg;Losser;0,2;0,4;0,1;0,1;0,0;0,0
NL:S:43170070;Landweerweg;Losser;0,6;0,6;0,2;0,2;0,1;0,0
NL:S:43170100;Pompstation;Losser;0,2;0,2;0,1;0,1;0,1;0,1
NL:S:43180030;Dorpsstraat;Lonneker;3,4;3,9;1,0;2,4;0,5;0,7
NL:S:43180050;Scholten Reimerstraat;Lonneker;12,8;12,0;4,2;3,8;2,4;2,3
NL:S:43180070;Beukerweg;Lonneker;1,0;1,4;0,7;0,8;0,4;0,6
NL:S:43180090;Landweerweg;Lonneker;1,1;1,1;0,8;1,0;0,4;0,4
NL:S:43180110;Prins Bernhardpark;Lonneker;1,1;1,3;0,2;0,3;0,3;0,3
NL:S:43180130;Veendijk;Lonneker;1,0;0,8;0,4;0,6;0,2;0,3
NL:S:43180160;Hanzepoort;Oldenzaal;13,7;15,8;4,0;4,6;2,3;2,7
NL:S:43210020;Berfloplein;Hengelo;6,5;6,0;1,1;1,7;0,0;0,0
NL:S:43210040;Brouwerijstraat;Hengelo;0,9;0,7;0,4;0,3;0,0;0,0
NL:S:43210060;Twekkelerplein;Hengelo;3,8;4,0;1,5;1,6;0,0;0,1
NL:S:43210080;Athenestraat;Hengelo;3,6;3,5;0,6;0,6;0,0;0,0
NL:S:43210110;Berfloweg;Hengelo;1,7;2,6;0,5;1,8;0,0;0,0
NL:S:43210130;Pruisische Veldweg;Hengelo;1,3;2,3;0,2;1,2;0,1;0,1
NL:S:43210150;Vuurdoornplein;Hengelo;30,4;31,0;6,0;5,5;0,1;0,1
NL:S:43210170;Goudenregenstraat;Hengelo;1,7;0,1;0,3;0,2;0,0;0,0
NL:S:43210180;Jasmijnstraat;Hengelo;2,8;3,6;0,8;0,5;0,0;0,0
NL:S:43210190;Heraklesstraat;Hengelo;3,1;4,2;0,8;0,9;0,0;0,0
