STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:61240060;12.4;12.4;6.0;5.9;4.5;4.6;Homberg;Wijchen;177401.0;424830.0
NL:S:61240070;5.3;5.5;2.3;2.7;1.0;1.6;Buizerdstraat;Wijchen;178047.5;425204.0
NL:S:61240080;4.1;4.5;1.7;1.8;0.9;1.0;Heilige Stoel 38/46;Wijchen;177503.0;425142.0
NL:S:61240100;7.9;6.2;3.0;2.8;1.9;1.5;Heilige Stoel 38/48;Wijchen;177827.0;425174.5
NL:S:61240110;6.2;8.2;2.3;4.7;1.0;2.4;Tunnelweg;Wijchen;178436.5;425331.0
NL:S:61240130;3.9;3.2;2.1;1.9;1.0;1.4;Holenbergseweg;Wijchen;178636.5;425620.0
NL:S:61240150;5.3;9.4;1.9;4.8;1.8;3.1;Schoenaker;Wijchen;179188.5;425982.0
NL:S:61240280;58.2;63.0;13.8;19.5;11.7;15.7;Station Wijchen;Wijchen;178671.5;424746.8
NL:S:61240290;0.5;0.7;0.0;0.0;0.0;0.0;Herenstraat;Wijchen;178294.5;424668.0
NL:S:61240350;0.6;0.2;0.0;0.0;0.0;0.0;Blauwe Hof 40e straat;Wijchen;177322.5;424520.5
NL:S:61240380;0.1;0.2;0.1;0.1;0.1;0.2;Diepvoorde;Wijchen;177913.5;423808.0
NL:S:61240390;15.6;8.0;7.9;5.4;3.6;3.7;Huissteden;Wijchen;177965.0;423547.0
NL:S:61240610;25.2;27.6;10.6;11.7;6.9;7.0;Zuiderpoort;Wijchen;178235.7;423439.0
NL:S:61240630;5.9;6.8;1.9;2.8;1.4;1.8;Kraaijenberg 83e straat;Wijchen;176791.0;424692.0
NL:S:61240640;8.2;8.5;3.8;3.9;3.0;2.8;De Ververt;Wijchen;178688.0;423246.0
NL:S:61240680;0.4;0.5;0.0;0.0;0.0;0.0;Oud-Ravensteinseweg;Wijchen;177963.0;424306.5
NL:S:61240720;10.1;10.9;3.9;5.3;2.9;3.0;Kerkeveld;Wijchen;178940.0;423198.0
NL:S:61240740;0.0;0.0;0.0;0.0;0.0;0.0;Fazantstraat;Wijchen;177973.5;425130.0
NL:S:61240760;0.2;0.2;0.0;0.0;0.1;0.1;Passedwarsstraat;Wijchen;177960.5;424815.5
NL:S:61240880;0.7;2.7;0.0;0.0;0.0;0.0;Bijsterh.22/Wilhelminal.;Wijchen;179525.5;426942.5
NL:S:61240910;14.2;14.9;2.4;2.4;0.8;1.0;Palkerplein;Wijchen;180619.0;426239.3
NL:S:61240950;9.6;9.6;0.0;0.0;0.0;0.0;Bijsterhuizen 21;Wijchen;180518.0;426878.0
NL:S:61240970;11.2;17.5;0.0;0.0;0.0;0.0;Bijsterhuizen 25;Wijchen;179621.0;426886.0
NL:S:61240990;2.4;4.3;0.0;0.0;0.0;0.0;Bijsterhuizen 10;Wijchen;180779.5;426727.0
NL:S:61241010;1.8;2.1;0.0;0.0;0.0;0.0;Mozaiek;Wijchen;179171.0;423871.0
NL:S:61241030;4.5;5.1;0.9;1.9;0.9;1.2;De Meerval;Wijchen;178780.0;423906.0
NL:S:61241050;15.2;18.3;7.7;8.6;4.6;6.0;Europaplein;Wijchen;178687.5;424309.5
NL:S:61241070;8.7;9.3;1.0;1.4;1.0;1.5;Meerdreef/Oosterweg;Wijchen;179074.0;423640.5
NL:S:61241270;4.5;4.6;1.1;1.6;1.0;1.1;Vijverlaan;Wijchen;179437.5;424804.0
NL:S:61241430;1.9;2.1;1.1;1.3;0.9;0.7;Kronenland;Wijchen;177705.0;423798.5
NL:S:61241470;3.6;3.7;1.7;2.2;0.8;0.9;Sluiskamp;Wijchen;177177.5;423639.0
NL:S:61241510;1.3;1.1;0.8;0.7;0.7;0.6;Blauwe Hof 60e straat;Wijchen;176877.5;424244.5
