;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
4362;NL:S:61240100;7.8;6.7;3.0;2.7;2.4;2.1;Heilige Stoel 38/48;Wijchen;177827.0;425174.5
4363;NL:S:61240110;7.0;8.4;2.1;3.8;1.9;2.9;Tunnelweg;Wijchen;178436.5;425331.0
4364;NL:S:61240130;3.7;3.8;1.8;2.0;1.0;1.1;Holenbergseweg;Wijchen;178636.5;425620.0
4365;NL:S:61240150;1.2;8.7;0.2;4.2;0.0;3.1;Schoenaker;Wijchen;179188.5;425982.0
4366;NL:S:61240280;34.5;44.2;11.6;18.6;12.4;14.1;Station Wijchen;Wijchen;178671.5;424746.8
4367;NL:S:61240290;0.1;0.2;0.0;0.1;0.0;0.0;Herenstraat;Wijchen;178294.5;424668.0
4368;NL:S:61240350;0.0;0.1;0.0;0.0;0.0;0.0;Blauwe Hof 40e straat;Wijchen;177322.5;424520.5
4369;NL:S:61240390;13.4;6.9;7.8;5.1;3.5;2.9;Huissteden;Wijchen;177965.0;423547.0
4370;NL:S:61240610;22.6;23.1;10.2;10.3;6.7;7.6;Zuiderpoort;Wijchen;178235.7;423439.0
4371;NL:S:61240630;7.2;8.4;4.0;3.8;3.4;2.9;Kraaijenberg 83e straat;Wijchen;176791.0;424692.0
4372;NL:S:61240640;7.7;8.4;3.1;3.6;1.9;1.8;De Ververt;Wijchen;178688.0;423246.0
4373;NL:S:61240720;10.8;11.1;3.5;3.5;2.5;2.5;Kerkeveld;Wijchen;178940.0;423198.0
4374;NL:S:61240880;0.2;0.6;0.0;0.0;0.0;0.0;Bijsterh.22/Wilhelminal.;Wijchen;179525.5;426942.5
4375;NL:S:61240910;11.1;12.3;1.2;1.0;0.6;0.6;Palkerplein;Wijchen;180619.0;426239.3
4376;NL:S:61240950;7.3;5.8;0.0;0.0;0.0;0.0;Bijsterhuizen 21;Wijchen;180518.0;426878.0
4377;NL:S:61240970;9.2;13.4;0.0;0.0;0.0;0.0;Bijsterhuizen 25;Wijchen;179621.0;426886.0
4378;NL:S:61240990;1.9;4.1;0.0;0.0;0.0;0.0;Bijsterhuizen 10;Wijchen;180779.5;426727.0
4379;NL:S:61241010;1.1;1.1;0.0;0.0;0.0;0.0;Mozaiek;Wijchen;179171.0;423871.0
4380;NL:S:61241030;3.2;3.6;0.7;1.5;0.6;1.4;De Meerval;Wijchen;178780.0;423906.0
4381;NL:S:61241050;16.3;19.6;8.8;10.4;4.8;5.3;Europaplein;Wijchen;178687.5;424309.5
4382;NL:S:61241070;8.2;8.7;1.1;1.4;0.8;1.0;Meerdreef/Oosterweg;Wijchen;179074.0;423640.5
4383;NL:S:61241270;3.6;4.3;1.0;1.4;0.7;1.4;Vijverlaan;Wijchen;179437.5;424804.0
4384;NL:S:61241430;2.5;2.2;1.0;1.1;1.0;0.9;Kronenland;Wijchen;177705.0;423798.5
4385;NL:S:61241470;2.6;3.0;1.6;2.2;1.5;1.3;Sluiskamp;Wijchen;177177.5;423639.0
4386;NL:S:61241510;1.7;1.3;0.6;0.6;0.5;0.5;Blauwe Hof 60e straat;Wijchen;176877.5;424244.5
4387;NL:S:61242010;10.9;5.2;4.5;2.4;3.6;1.6;Veenhof;Wijchen;179057.0;425551.0
4388;NL:S:61242030;0.5;0.2;0.0;0.0;0.0;0.0;Weegbree;Wijchen;179039.0;425309.0
4389;NL:S:61280010;0.0;0.1;0.0;0.0;0.0;0.0;Achterstraat;Varik;154348.5;426996.5
4390;NL:S:61280030;0.1;0.1;0.0;0.0;0.0;0.0;Kerkstraat 3;Varik;154236.5;426440.0
4391;NL:S:61280040;0.1;0.0;0.0;0.0;0.0;0.0;Van Riemsdijk;Heesselt;151956.5;426150.0
4392;NL:S:61280070;0.5;0.5;0.0;0.0;0.0;0.0;Kerkstraat 38;Varik;153835.0;426406.0
4393;NL:S:61280080;0.2;0.1;0.0;0.0;0.0;0.0;Kerklaan;Heesselt;152172.0;425019.5
4394;NL:S:61280090;0.3;0.3;0.0;0.0;0.0;0.0;Postkantoor;Varik;153735.5;426211.0
4395;NL:S:61280100;0.1;0.1;0.0;0.0;0.0;0.0;Gerestraat 40;Heesselt;152391.5;425031.5
