stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43006030;NL:Q:43006040;De Klomp;Enschede;Oldenzaalsestraat;258368;471248;;;;;;;;
NL:S:43010370;NL:Q:43010370;Schipholtstraat;Glanerbrug;Schipholtstraat;262817;470092;2019;3;1642.0;126.0;51.0;1865.0;150.0;48.0
NL:S:43003020;NL:Q:43003020;MST Ariensplein;Enschede;Kortenaerstraat;257305;471230;;;;;;;;
NL:S:43003020;NL:Q:43006010;MST Ariensplein;Enschede;Bisschopstraat;257311;471185;;;;;;;;
NL:S:44101030;NL:Q:44101030;Crematorium;Enschede;Usselerveenweg;253697;468271;;;;;;;;
NL:S:43000670;NL:Q:43000670;Olieslagweg;Enschede;Jupiterstraat;255144;472552;2019;1;112.0;10.0;0.0;396.0;48.0;27.0
NL:S:43000670;NL:Q:43000680;Olieslagweg;Enschede;Jupiterstraat;255210;472480;2019;1;371.0;56.0;16.0;51.0;7.0;8.0
NL:S:43004370;NL:Q:43004370;Dr. J. Wagenaarstraat;Enschede;J.J. van Deinselaan;258390;469910;2019;505;551.0;42.0;0.0;11.0;0.0;0.0
NL:S:43004370;NL:Q:43004370;Dr. J. Wagenaarstraat;Enschede;J.J. van Deinselaan;258390;469910;2019;802;0.0;0.0;6.0;0.0;0.0;2.0
NL:S:43110250;NL:Q:43110250;UT/Reelaan;Enschede;Calslaan;255038;474159;2019;1;7.0;1.0;0.0;398.0;63.0;44.0
NL:S:43110250;NL:Q:43110250;UT/Reelaan;Enschede;Calslaan;255038;474159;2019;4816;0.0;0.0;0.0;0.0;0.0;47.0
NL:S:43110250;NL:Q:43110260;UT/Reelaan;Enschede;Calslaan;255032;474153;2019;1;427.0;74.0;15.0;5.0;0.0;1.0
NL:S:43180050;NL:Q:43180050;Scholten Reimerstraat;Lonneker;Oldenzaalsestraat;259332;474758;2019;60;53.0;0.0;0.0;173.0;0.0;0.0
NL:S:43180050;NL:Q:43180050;Scholten Reimerstraat;Lonneker;Oldenzaalsestraat;259332;474758;2019;62;50.0;1.0;7.0;240.0;40.0;8.0
NL:S:43180050;NL:Q:43180060;Scholten Reimerstraat;Lonneker;Oldenzaalsestraat;259339;474681;2019;60;152.0;0.0;0.0;34.0;0.0;0.0
NL:S:43180050;NL:Q:43180060;Scholten Reimerstraat;Lonneker;Oldenzaalsestraat;259339;474681;2019;62;358.0;55.0;11.0;72.0;6.0;0.0
NL:S:43001650;NL:Q:43001650;Hazendijk;Enschede;De Posten;257312;467754;2019;1;20.0;5.0;1.0;404.0;58.0;14.0
NL:S:43003090;NL:Q:43003090;Poolmansweg;Enschede;Elferinksweg;256410;470793;2019;5;44.0;8.0;8.0;1790.0;232.0;149.0
NL:S:43003090;NL:Q:43003100;Poolmansweg;Enschede;Elferinksweg;256437;470807;2019;5;1658.0;217.0;112.0;47.0;8.0;6.0
NL:S:43110070;NL:Q:43110070;De Broeierd;Enschede;Hengelosestraat;254463;473490;2019;8;17.0;0.0;0.0;174.0;0.0;0.0
NL:S:43110070;NL:Q:43110070;De Broeierd;Enschede;Hengelosestraat;254463;473490;2019;9;1271.0;146.0;30.0;2034.0;176.0;88.0
NL:S:43110070;NL:Q:43110080;De Broeierd;Enschede;Hengelosestraat;254381;473544;2019;8;113.0;0.0;0.0;43.0;0.0;0.0
NL:S:43110070;NL:Q:43110080;De Broeierd;Enschede;Hengelosestraat;254381;473544;2019;9;1725.0;194.0;22.0;1257.0;92.0;39.0
NL:S:43002030;NL:Q:43002030;Rozenstraat;Enschede;Oosterstraat;258746;471771;;;;;;;;
NL:S:43002030;NL:Q:43002040;Rozenstraat;Enschede;Oosterstraat;258695;471775;2019;6;0.0;0.0;0.0;9.0;0.0;0.0
NL:S:43002250;NL:Q:43002250;Oosterstraat;Enschede;Oosterstraat;258433;471715;;;;;;;;
NL:S:43002250;NL:Q:43002260;Oosterstraat;Enschede;Oosterstraat;258428;471716;;;;;;;;
NL:S:43005530;NL:Q:43005530;Goolkatenweg;Enschede;Hengelosestraat;256769;472118;2019;8;64.0;0.0;0.0;28.0;0.0;0.0
NL:S:43005530;NL:Q:43005530;Goolkatenweg;Enschede;Hengelosestraat;256769;472118;2019;9;1271.0;65.0;18.0;1131.0;65.0;20.0
NL:S:43005530;NL:Q:43005540;Goolkatenweg;Enschede;Hengelosestraat;256864;472060;2019;8;14.0;0.0;0.0;78.0;0.0;0.0
